fecha,detalle,egreso,ingreso,saldo
04/01/26,PAGO VISA U$S,23557.64,0.0,
04/01/26,PAGO VISA $,178736.85,0.0,
04/01/26,DEB PREA DEBIN  30703088534,150000.0,0.0,
04/01/26,TRANS PAG PROV,0.0,2000000.0,
03/27/26,LIQUIDACION DE INTERESES,0.0,17.99,
03/26/26,DEB PREA DEBIN  30703088534,13650.0,0.0,
03/26/26,TRANSF. E/BCOS-ONLINE,0.0,13650.0,
03/25/26,DEB PREA DEBIN  30703088534,25500.0,0.0,
03/13/26,PAGO SEGURO ATM 14 0 032233270,7329.38,0.0,
03/11/26,PAGO MASTERCARD $,60098.15,0.0,
03/11/26,PAGO MASTERCARD $,131158.17,0.0,
03/10/26,PAGO SAN CRISTO 30578052000000,53503.0,0.0,
03/10/26,PAGO SEG. HOGAR 13 0 032334029,22091.0,0.0,
03/06/26,DEB PREA DEBIN  30703088534,1600000.0,0.0,
03/06/26,TRANS PAG PROV,0.0,364000.0,
03/05/26,TRANSF. E/BCOS-ONLINE,0.0,1500000.0,
03/04/26,DEB PREA DEBIN  30703088534,885000.0,0.0,
03/04/26,TRANS PAG PROV,0.0,750000.0,
03/04/26,PAGO SEGURO ATM 14 0 032233270,7329.38,0.0,
03/03/26,PAGO VISA U$S,24055.33,0.0,
03/03/26,PAGO VISA $,297929.91,0.0,
03/03/26,TRANS PAG PROV,0.0,500000.0,
02/27/26,LIQUIDACION DE INTERESES,0.0,0.91,
02/12/26,PAGO MASTERCARD $      PARCIAL,54307.82,0.0,
02/11/26,PAGO MASTERCARD $,215074.91,0.0,
02/11/26,TRANSFERENCIA PUSH,0.0,6044.0,
02/11/26,PAGO SEGURO ATM 14 0 032233270,7329.38,0.0,
02/11/26,PAGO SEG. HOGAR 13 0 029577738,22091.0,0.0,
02/10/26,PAGO SAN CRISTO 30578052000000,51371.0,0.0,
02/10/26,CREDITO INMEDIATO,0.0,344000.0,
02/03/26,PAGO VISA U$S,24636.17,0.0,
02/03/26,PAGO VISA $,214224.95,0.0,
02/03/26,TRANSFERENCIA PUSH,0.0,238000.0,
01/27/26,LIQUIDACION DE INTERESES,0.0,13.93,
01/14/26,PAGO MASTERCARD $,57722.01,0.0,
01/14/26,PAGO MASTERCARD $,137084.24,0.0,
01/14/26,TRANSFERENCIA PUSH,0.0,190000.0,
01/12/26,PAGO SEG. HOGAR 13 0 029577738,22091.0,0.0,
01/09/26,PAGO SAN CRISTO 30535463000000,50859.0,0.0,
01/06/26,PAGO VISA U$S,48706.83,0.0,
01/06/26,PAGO VISA $,142560.04,0.0,
01/05/26,DEB PREA DEBIN  30703088534,1262222.0,0.0,
01/02/26,TRANSF. E/BCOS-ONLINE,0.0,1532215.41,
12/29/25,LIQUIDACION DE INTERESES,0.0,7.01,
12/12/25,DEB PREA DEBIN  30703088534,429375.62,0.0,
12/11/25,PAGO MASTERCARD $,82924.92,0.0,
12/11/25,PAGO MASTERCARD $,68035.46,0.0,
12/11/25,DEB PREA DEBIN  30703088534,1100000.0,0.0,
12/11/25,PAGO SEG. HOGAR 13 0 029577738,22091.0,0.0,
12/10/25,PAGO SAN CRISTO 30535463000000,46639.0,0.0,
12/10/25,TRANSF. E/BCOS-ONLINE,0.0,1532215.41,
12/10/25,TRANSFERENCIA PUSH,0.0,65550.0,
12/10/25,TRANSFERENCIA PUSH,0.0,151300.0,
12/03/25,DEB PREA DEBIN  30703088534,156367.0,0.0,
12/02/25,PAGO VISA U$S,24636.17,0.0,
12/02/25,PAGO VISA $,135232.42,0.0,
12/01/25,TRANSF. E/BCOS-ONLINE,0.0,147500.0,
12/01/25,TRANSF. E/BCOS-ONLINE,0.0,168734.15,
11/27/25,LIQUIDACION DE INTERESES,0.0,1.52,
11/25/25,DEB PREA DEBIN  30703088534,22349.0,0.0,
11/18/25,PAGO SAN CRISTO 30535463000000,44904.0,0.0,
11/13/25,CPA. NETFLIX COM,24609.98,0.0,
11/13/25,PAGO SEG. HOGAR 13 0 029577738,22091.0,0.0,
11/12/25,PAGO MASTERCARD $,35084.68,0.0,
11/12/25,PAGO MASTERCARD $,43443.15,0.0,
11/12/25,TRANSF. E/BCOS-ONLINE,0.0,103442.32,
11/12/25,TRANSF. E/BCOS-ONLINE,0.0,85620.29,
11/11/25,IMPUESTO AL VALOR AGREGADO,9.57,0.0,
11/11/25,COM. RECHAZO DEBITO DIRECTO,45.57,0.0,
11/10/25,TRANSFERENCIA PUSH,0.0,3474.0,
11/05/25,DEB PREA DEBIN  30703088534,18802.0,0.0,
11/04/25,PAGO VISA U$S,2994.96,0.0,
11/04/25,PAGO VISA $,125312.15,0.0,
11/04/25,TRANSF. E/BCOS-ONLINE,0.0,147109.32,
11/03/25,DEB PREA DEBIN  30703088534,42575.0,0.0,
10/28/25,CPA. MERPAGO APPYPFTIENDA,3490.0,0.0,
10/27/25,CPA. MERPAGO BANCODEALIME,10000.0,0.0,
10/27/25,LIQUIDACION DE INTERESES,0.0,15.47,
10/24/25,DEB PREA DEBIN  30703088534,38000.0,0.0,
10/21/25,CPA. DISTRIBUIDORA DE GAS,25123.18,0.0,
10/21/25,CPA. MERPAGO APPYPFTIENDA,2590.0,0.0,
10/14/25,PAGO TARJETA MASTERCARD,58061.6,0.0,
10/13/25,CPA. NETFLIX COM,24609.98,0.0,
10/13/25,PAGO SEG. HOGAR 13 0 029577738,22091.0,0.0,
10/09/25,PAGO SAN CRISTO 30535463000000,43461.0,0.0,
10/07/25,PAGO VISA U$S,5945.11,0.0,
10/07/25,PAGO VISA $,156020.64,0.0,
10/02/25,DEB PREA DEBIN  30703088534,570000.0,0.0,
10/01/25,TRANSF.HABERES,0.0,1000000.0,
